                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5565,                 4.8073,                 2.4053,                0.00098,                0.24242,                0.00383,                0.00151,                 2.0492,                 3.9919,                  2.003,              2.858e-05,              2.858e-05,              2.858e-05
                      2,                 2.6348,                 4.9718,                 2.6553,                0.00095,                0.24242,                0.01314,                0.00581,                 2.1507,                 4.0187,                 2.0902,             7.1096e-05,             7.1096e-05,             7.1096e-05
                      3,                 2.3332,                 5.0762,                 2.2348,                 0.0014,                0.33939,                0.06442,                0.02357,                 1.6937,                 3.9031,                  1.757,             0.00011319,             0.00011319,             0.00011319
                      4,                  1.807,                 4.5557,                  1.806,                0.00278,                0.50303,                0.12349,                0.03535,                 1.2556,                 3.8017,                 1.4194,             0.00015486,             0.00015486,             0.00015486
                      5,                 1.6045,                  3.952,                 1.5454,                0.00395,                0.93636,                0.33306,                0.15538,                 1.1272,                 3.6098,                 1.2576,              0.0001961,              0.0001961,              0.0001961
                      6,                 1.2116,                 3.0413,                 1.3272,                0.00408,                 0.9697,                0.33763,                0.17811,                 1.0834,                  3.473,                 1.2237,             0.00023692,             0.00023692,             0.00023692
                      7,                 1.2058,                 2.7506,                 1.2411,                0.00355,                0.93939,                0.37617,                0.22717,                 1.0375,                 3.2702,                 1.1534,             0.00027731,             0.00027731,             0.00027731
                      8,                 1.1674,                 3.0466,                 1.2318,                0.00365,                 0.9697,                0.49327,                0.30882,                 1.0187,                 3.1541,                 1.1224,             0.00031728,             0.00031728,             0.00031728
                      9,                 1.2356,                 2.5382,                 1.2442,                0.00373,                0.96667,                0.47205,                0.24898,                 1.1183,                 3.0769,                  1.197,             0.00035683,             0.00035683,             0.00035683
                     10,                 1.3088,                 2.4887,                 1.2546,                0.00381,                0.96667,                0.49252,                0.27487,                 1.1179,                 3.1121,                 1.1783,             0.00039595,             0.00039595,             0.00039595
                     11,                 1.1024,                 2.6637,                 1.2016,                0.00447,                0.93636,                 0.4371,                0.28568,                 1.2112,                 3.2499,                 1.2709,             0.00043464,             0.00043464,             0.00043464
                     12,                 1.2402,                 2.3668,                 1.2148,                 0.0045,                0.96667,                 0.4628,                 0.3063,                 1.1197,                 3.2581,                 1.2617,             0.00047292,             0.00047292,             0.00047292
                     13,                 1.0771,                 2.4003,                 1.0914,                0.00382,                      1,                0.28293,                0.13739,                  1.362,                 3.3046,                 1.3559,             0.00051076,             0.00051076,             0.00051076
