                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2834,                 4.4814,                 1.3009,                0.00165,                0.49533,                0.01237,                0.00646,                   0.59,                  3.701,                 1.0149,             0.00011432,             0.00011432,             0.00011432
                      2,                0.89468,                 2.8584,                 1.0675,                0.00532,                0.85138,                 0.2479,                0.18802,                0.64591,                 3.2878,                0.99434,             0.00024233,             0.00024233,             0.00024233
                      3,                0.82069,                 2.0781,                 1.0157,                0.00399,                0.88487,                0.09961,                0.04728,                0.67725,                  3.417,                0.98021,              0.0003697,              0.0003697,              0.0003697
                      4,                0.78641,                 1.9994,                 1.0086,                0.00484,                0.99087,                0.36303,                0.24233,                0.69508,                 3.2356,                  1.011,             0.00049644,             0.00049644,             0.00049644
                      5,                0.76724,                 1.7012,                0.98667,                0.00247,                0.88291,                0.40245,                0.32434,                0.69504,                 3.0633,                 1.0475,             0.00062254,             0.00062254,             0.00062254
                      6,                0.84768,                 1.6629,                0.98433,                0.93443,                0.08066,                0.40269,                0.29635,                0.86573,                 2.9744,                 1.0914,               0.000748,               0.000748,               0.000748
                      7,                0.88317,                 1.6246,                 1.0601,                0.66667,                0.22272,                0.34474,                0.27194,                0.82248,                 2.7603,                 1.1038,             0.00087282,             0.00087282,             0.00087282
                      8,                0.74374,                 1.5332,                 1.0015,                      1,                0.19557,                0.35889,                0.27805,                0.86614,                  2.634,                 1.1254,             0.00099701,             0.00099701,             0.00099701
                      9,                0.79988,                 1.5419,                 1.0368,                0.89621,                0.41701,                0.48313,                0.35115,                 0.7284,                 2.2002,                 1.2025,              0.0011206,              0.0011206,              0.0011206
                     10,                0.84044,                 1.4231,                 1.0278,                0.86601,                0.38837,                0.48095,                0.34294,                0.79175,                 2.0524,                 1.2872,              0.0012435,              0.0012435,              0.0012435
                     11,                0.80906,                 1.3198,                 1.0305,                0.99864,                0.28767,                0.32538,                0.26797,                0.87577,                 2.2039,                 1.2733,              0.0013658,              0.0013658,              0.0013658
                     12,                0.83639,                 1.3619,                0.98826,                0.71837,                0.32467,                0.35473,                 0.2928,                0.82299,                      2,                 1.2988,              0.0013901,              0.0013901,              0.0013901
                     13,                0.81388,                 1.3394,                 1.0246,                0.74772,                0.49078,                0.49213,                0.35215,                0.87149,                  2.012,                 1.4503,              0.0013866,              0.0013866,              0.0013866
                     14,                0.73104,                 1.2562,                0.97754,                0.87037,                0.39548,                0.44265,                 0.3283,                0.80824,                 1.7611,                  1.303,               0.001383,               0.001383,               0.001383
                     15,                0.71628,                 1.2673,                 1.0071,                0.96093,                0.30594,                0.43919,                  0.316,                0.82288,                 1.6885,                 1.2819,              0.0013795,              0.0013795,              0.0013795
                     16,                0.72363,                 1.1347,                0.97544,                0.78024,                 0.4604,                0.40953,                 0.2899,                0.86482,                 1.6235,                 1.2857,              0.0013759,              0.0013759,              0.0013759
                     17,                0.75739,                 1.1921,                0.99848,                0.83885,                0.46437,                0.52767,                0.37023,                0.71212,                 1.0699,                 1.1881,              0.0013724,              0.0013724,              0.0013724
                     18,                0.77518,                 1.1789,                 1.0477,                0.81962,                0.46902,                 0.4499,                0.33547,                0.81819,                 1.1377,                 1.3538,              0.0013689,              0.0013689,              0.0013689
                     19,                0.77515,                 1.1162,                 1.0272,                0.79399,                0.48449,                 0.4772,                 0.3444,                0.79342,                 1.1369,                 1.3158,              0.0013653,              0.0013653,              0.0013653
                     20,                0.72261,                0.98977,                0.94301,                0.83152,                0.47162,                0.50366,                0.35477,                  0.726,                0.86506,                 1.1903,              0.0013618,              0.0013618,              0.0013618
                     21,                0.70455,                 1.0296,                0.97731,                0.80542,                0.40164,                0.43245,                0.33637,                0.68815,                0.86157,                 1.1454,              0.0013583,              0.0013583,              0.0013583
                     22,                0.69988,                  1.024,                0.96112,                0.84572,                  0.506,                0.49608,                0.36531,                0.70803,                0.79072,                 1.1462,              0.0013547,              0.0013547,              0.0013547
                     23,                0.69264,                0.93587,                0.97336,                0.87222,                0.51011,                0.54128,                0.39769,                0.63672,                0.73693,                 1.0911,              0.0013512,              0.0013512,              0.0013512
                     24,                 0.6366,                0.87598,                0.94944,                0.88516,                    0.5,                0.55341,                0.38842,                0.69095,                0.73388,                 1.0869,              0.0013477,              0.0013477,              0.0013477
                     25,                 0.6642,                0.82467,                0.96814,                0.87166,                0.51924,                 0.5299,                0.38337,                0.65886,                0.72682,                 1.0895,              0.0013441,              0.0013441,              0.0013441
                     26,                0.75269,                0.89391,                0.99696,                0.81315,                 0.5371,                0.50871,                0.35735,                0.66024,                0.71158,                  1.096,              0.0013406,              0.0013406,              0.0013406
                     27,                0.70047,                0.87622,                 0.9929,                0.87655,                0.37126,                0.46214,                0.35991,                0.65875,                0.73271,                 1.0854,               0.001337,               0.001337,               0.001337
                     28,                0.63244,                0.80687,                0.94244,                0.93791,                0.47704,                0.52915,                0.36764,                0.75114,                0.81695,                 1.1666,              0.0013335,              0.0013335,              0.0013335
                     29,                0.66778,                0.82918,                0.94286,                0.95711,                0.47717,                0.55105,                 0.3545,                0.76008,                0.76466,                 1.1599,                0.00133,                0.00133,                0.00133
                     30,                0.67639,                0.77939,                 0.9364,                 0.8295,                0.56686,                0.55265,                0.36295,                 0.6924,                0.82838,                 1.1416,              0.0013264,              0.0013264,              0.0013264
                     31,                0.67586,                0.76404,                0.95174,                0.81243,                0.58154,                0.56064,                0.35514,                0.67954,                 0.7724,                 1.1258,              0.0013229,              0.0013229,              0.0013229
                     32,                0.67965,                0.77685,                0.93466,                0.87668,                0.63205,                0.59714,                0.41387,                0.63276,                0.69772,                  1.094,              0.0013194,              0.0013194,              0.0013194
                     33,                0.70544,                0.77446,                0.95385,                0.80883,                0.52727,                 0.5264,                  0.384,                0.66099,                0.76515,                 1.1019,              0.0013158,              0.0013158,              0.0013158
                     34,                0.64533,                0.76475,                0.95939,                0.84832,                0.48859,                0.50703,                0.37788,                0.64579,                 0.7641,                 1.0963,              0.0013123,              0.0013123,              0.0013123
                     35,                0.68989,                0.76302,                0.97481,                0.91685,                0.51468,                0.55802,                0.40955,                 0.6089,                0.66319,                 1.0606,              0.0013087,              0.0013087,              0.0013087
                     36,                0.70352,                0.75453,                0.94235,                 0.8642,                0.49745,                0.56231,                0.42588,                 0.5877,                0.71618,                 1.0679,              0.0013052,              0.0013052,              0.0013052
                     37,                 0.5747,                0.68391,                0.92222,                0.88719,                0.48346,                 0.6475,                0.42861,                0.60351,                0.67408,                 1.0579,              0.0013017,              0.0013017,              0.0013017
                     38,                0.63298,                0.69663,                0.93889,                0.46966,                0.53849,                0.49006,                0.36776,                0.58322,                 0.7207,                 1.0449,              0.0012981,              0.0012981,              0.0012981
                     39,                0.61732,                0.69514,                0.94006,                0.47012,                0.44325,                0.44404,                0.36187,                0.61981,                0.68991,                 1.0627,              0.0012946,              0.0012946,              0.0012946
                     40,                0.62477,                0.68509,                0.95904,                0.95174,                 0.4002,                 0.4814,                0.36893,                0.54374,                0.72818,                 1.0531,              0.0012911,              0.0012911,              0.0012911
                     41,                0.55584,                0.65059,                 0.9244,                0.38561,                0.57765,                0.48644,                0.37002,                0.59123,                0.63764,                 1.0765,              0.0012875,              0.0012875,              0.0012875
